Country,Bin_Year,Rrinc_min,Rrinc_max
Guatemala,1988,82,5626
Guatemala,1998,215,9458
Guatemala,2003,97,8173
Guatemala,2008,254,10778
Guinea,1993,109,1709
Guinea,2003,142,1793
Guinea,2008,181,2068
Guinea-Bissau,1993,142,2640
Guinea-Bissau,2003,177,1633
Guyana,1993,400,10755
Guyana,1998,288,7343
Haiti,2003,44,3177
Honduras,1988,119,5501
Honduras,1993,177,6293
Honduras,1998,90,7584
Honduras,2003,116,8252
Honduras,2008,63,11948
Hong Kong SAR, China,1993,2271,46379
Hong Kong SAR, China,1998,2153,38249
Hungary,1988,1243,5806
Hungary,1993,1711,10095
Hungary,1998,1581,8583
Hungary,2003,1635,13364
Hungary,2008,1761,10733
Iceland,2003,5119,31407
Iceland,2008,9482,59348
India,1988,413,3092
India,1993,449,3117
India,1998,459,3551
India,2003,480,3846
India,2008,533,4492
Indonesia,1988,345,2243
Indonesia,1993,429,2831
Indonesia,1998,464,3081
Indonesia,2003,597,3866
Indonesia,2008,614,4720
Iran, Islamic Rep.,1988,500,8150
Iran, Islamic Rep.,1993,625,9332
Iran, Islamic Rep.,1998,626,10201
Iran, Islamic Rep.,2003,621,7028
Iraq,2008,497,3311
Ireland,1988,1189,15603
Ireland,1993,1585,14896
Ireland,1998,2453,34684
Ireland,2003,4310,34773
Ireland,2008,4741,33293
Israel,1988,1614,16920
Israel,1993,2090,20172
Israel,1998,1892,22038
Israel,2003,1901,25515
Israel,2008,1441,26789
Italy,1988,2279,19681
Italy,1993,2782,22336
Italy,1998,2188,31625
Italy,2003,2423,31366
Italy,2008,3361,28984
Jamaica,1988,492,7733
Jamaica,1993,409,4119
Jamaica,1998,701,10889
Jamaica,2003,754,12035
Japan,1988,5929,26920
Japan,1993,6670,31327
Japan,1998,6823,31329
Japan,2003,6986,36127
Japan,2008,3192,29508
Jordan,1988,835,7473
Jordan,1993,531,7312
Jordan,1998,595,5427
Jordan,2003,605,6484
Jordan,2008,848,6560
Kazakhstan,1988,1627,8168
Kazakhstan,1993,473,3840
Kazakhstan,1998,440,4317
Kazakhstan,2003,598,3833
Kenya,1993,138,5329
Kenya,1998,292,3954
Kenya,2008,112,791
Korea, Rep.,1988,1977,19432
Korea, Rep.,1993,2699,23799
Korea, Rep.,1998,2701,21013
Korea, Rep.,2003,2344,28153
Korea, Rep.,2008,2433,32295
Kosovo,2008,626,4715
Kyrgyz Republic,1993,147,8345
Kyrgyz Republic,1998,238,2179
Kyrgyz Republic,2003,372,3006
Kyrgyz Republic,2008,409,4573
Lao PDR,1993,216,1341
Lao PDR,1998,200,1705
Lao PDR,2003,232,1665
Lao PDR,2008,252,2290
Latvia,1988,3265,13712
Latvia,1993,1001,5196
Latvia,1998,717,7022
Latvia,2003,1003,10479
Latvia,2008,1364,15669
Lesotho,1988,99,4145
Lesotho,1993,76,3301
Lesotho,2003,86,3422
Liberia,2008,77,980
Lithuania,1988,1723,7233
Lithuania,1993,470,4157
Lithuania,2003,709,9891
Lithuania,2008,1480,14504
Luxembourg,1993,7364,39718
Luxembourg,1998,6431,49207
Luxembourg,2003,7484,57140
Luxembourg,2008,7720,51521
Macedonia, FYR,1998,751,5104
Macedonia, FYR,2003,804,9858
Macedonia, FYR,2008,788,12181
Madagascar,1993,85,1609
Madagascar,1998,77,1019
Madagascar,2003,141,2234
Madagascar,2008,74,1166
Malawi,1998,66,1486
Malawi,2003,124,1304
Malawi,2008,136,2250
Malaysia,1988,557,10335
Malaysia,1993,574,11242
Malaysia,1998,685,15130
Malaysia,2003,655,7054
Malaysia,2008,854,16622
Maldives,1998,93,11839
Maldives,2003,574,5936
Mali,1993,56,1167
Mali,2003,128,1517
Mali,2008,161,1801
Mauritania,1988,104,2339
Mauritania,1993,174,3613
Mauritania,1998,269,3133
Mauritania,2003,245,3202
Mauritania,2008,246,3201
Mexico,1988,439,4621
Mexico,1993,389,15205
Mexico,1998,184,11601
Mexico,2003,430,14089
Mexico,2008,448,14636
Micronesia, Fed. Sts.,1998,70,8055
Moldova,1998,220,2764
Moldova,2003,424,3752
Moldova,2008,660,6073
Mongolia,2003,324,2669
Mongolia,2008,611,5610
Montenegro,2003,1168,7760
Montenegro,2008,1538,10389
Morocco,1993,510,5470
Morocco,1998,430,4837
Morocco,2003,421,5146
Morocco,2008,514,6425
Mozambique,1998,80,1294
